Transfer Order Number,Transfer order item,Source storage unit,Material,Filler,Storage Unit Type,Filler,Source Storage Type,Source Storage Bin,Source target qty,Alternative Unit of Measure,Confirmation time,Confirmation date,Queue,Creation Date,Creation time,Dest.storage unit,Dest. Storage Type,Dest.Storage Bin
1005467855,24,53020000073293,7469979-07,,960,,P01,P01-S014,48,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,25,53020000073293,7398014-06,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,26,53020000073293,7399028-05,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,27,53020000073293,7415074-05,,960,,P01,P01-S014,48,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,28,53020000073293,7415073-05,,960,,P01,P01-S014,48,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,29,53020000073293,7416448-05,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,30,53020000073293,7424421-06,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,31,53020000073293,7424422-06,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,32,53020000073293,7451977-06,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005468315,1,53030001287423,7444990-07,,960,,P05,P05-M036,12,PC,1:27:20 AM,12/1/2020,,12/1/2020,1:08:37 AM,53030001287423,V02,LOADING
1005468538,1,53020000074874,7439388-07,,960,,P04,P04-M032,24,PC,1:21:58 AM,12/1/2020,,12/1/2020,1:10:06 AM,53020000074874,V02,LOADING
1005468538,2,53020000074874,7481947-09,,960,,P04,P04-M032,24,PC,1:21:58 AM,12/1/2020,,12/1/2020,1:10:06 AM,53020000074874,V02,LOADING
1005468538,3,53020000074874,9868421-02,,960,,P04,P04-M032,24,PC,1:21:58 AM,12/1/2020,,12/1/2020,1:10:06 AM,53020000074874,V02,LOADING
1005468847,1,53020000075107,7949861-12,,960,,P04,P04-M030,24,PC,2:35:36 PM,12/1/2020,,12/1/2020,1:13:48 AM,53020000075107,V02,LOADING
1005468847,2,53020000075107,6998886-06,,960,,P04,P04-M030,24,PC,2:35:36 PM,12/1/2020,,12/1/2020,1:13:48 AM,53020000075107,V02,LOADING
1005468847,3,53020000075107,6998880-08,,960,,P04,P04-M030,24,PC,2:35:36 PM,12/1/2020,,12/1/2020,1:13:48 AM,53020000075107,V02,LOADING
1005468847,4,53020000075107,6998885-06,,960,,P04,P04-M030,24,PC,2:35:36 PM,12/1/2020,,12/1/2020,1:13:48 AM,53020000075107,V02,LOADING
1005468847,5,53020000075107,6998879-08,,960,,P04,P04-M030,24,PC,2:35:36 PM,12/1/2020,,12/1/2020,1:13:48 AM,53020000075107,V02,LOADING
1005468905,1,53020000074555,6871323-03,,960,,S21,S21-CART21,24,PC,3:10:20 PM,12/1/2020,,12/1/2020,1:14:14 AM,53020000074555,V02,LOADING
1005468905,2,53020000074555,6871307-02,,960,,S21,S21-CART21,24,PC,3:10:20 PM,12/1/2020,,12/1/2020,1:14:14 AM,53020000074555,V02,LOADING
1005468905,3,53020000074555,7439938-08,,960,,S21,S21-CART21,24,PC,3:10:20 PM,12/1/2020,,12/1/2020,1:14:14 AM,53020000074555,V02,LOADING
1005468905,4,53020000074555,9895495-01,,960,,S21,S21-CART21,24,PC,3:10:20 PM,12/1/2020,,12/1/2020,1:14:14 AM,53020000074555,V02,LOADING
1005468905,5,53020000074555,7471747-06,,960,,S21,S21-CART21,24,PC,3:10:20 PM,12/1/2020,,12/1/2020,1:14:14 AM,53020000074555,V02,LOADING
1005468905,6,53020000074555,6871321-03,,960,,S21,S21-CART21,24,PC,3:10:20 PM,12/1/2020,,12/1/2020,1:14:14 AM,53020000074555,V02,LOADING
1005468944,1,53020000074434,6871323-03,,960,,S21,S21-CART21,24,PC,3:14:06 PM,12/1/2020,,12/1/2020,1:14:31 AM,53020000074434,V02,LOADING
1005468944,2,53020000074434,6871321-03,,960,,S21,S21-CART21,24,PC,3:14:06 PM,12/1/2020,,12/1/2020,1:14:31 AM,53020000074434,V02,LOADING
1005468944,3,53020000074434,7439973-04,,960,,S21,S21-CART21,24,PC,3:14:06 PM,12/1/2020,,12/1/2020,1:14:31 AM,53020000074434,V02,LOADING
1005468944,4,53020000074434,6805307-04,,960,,S21,S21-CART21,24,PC,3:14:06 PM,12/1/2020,,12/1/2020,1:14:31 AM,53020000074434,V02,LOADING
1005468944,5,53020000074434,6871307-02,,960,,S21,S21-CART21,24,PC,3:14:06 PM,12/1/2020,,12/1/2020,1:14:31 AM,53020000074434,V02,LOADING
1005469129,1,53020000073480,7952182-06,,960,,P01,P01-S025,24,PC,1:23:26 AM,12/1/2020,,12/1/2020,1:16:45 AM,53020000073480,V02,LOADING
1005469129,2,53020000073480,8780755-06,,960,,P01,P01-S025,24,PC,1:23:26 AM,12/1/2020,,12/1/2020,1:16:45 AM,53020000073480,V02,LOADING
1005469129,3,53020000073480,9398798-01,,960,,P01,P01-S025,24,PC,1:23:26 AM,12/1/2020,,12/1/2020,1:16:45 AM,53020000073480,V02,LOADING
1005469157,1,53030001284152,7444987-07,,960,,P08,P08-L042,8,PC,1:24:38 AM,12/1/2020,,12/1/2020,1:17:12 AM,53030001284152,V02,LOADING
1005469183,1,53020000073666,8706760-01,,960,,P01,P01-S022,24,PC,1:20:15 AM,12/1/2020,,12/1/2020,1:17:25 AM,53020000073666,V02,LOADING
1005469183,2,53020000073666,9840550-01,,960,,P01,P01-S022,24,PC,1:20:15 AM,12/1/2020,,12/1/2020,1:17:25 AM,53020000073666,V02,LOADING
1005469183,3,53020000073666,7441957-06,,960,,P01,P01-S022,24,PC,1:20:15 AM,12/1/2020,,12/1/2020,1:17:25 AM,53020000073666,V02,LOADING
1005469183,4,53020000073666,7441967-07,,960,,P01,P01-S022,24,PC,1:20:15 AM,12/1/2020,,12/1/2020,1:17:25 AM,53020000073666,V02,LOADING
1005469183,5,53020000073666,7449454-05,,960,,P01,P01-S022,24,PC,1:20:15 AM,12/1/2020,,12/1/2020,1:17:25 AM,53020000073666,V02,LOADING
1005469183,6,53020000073666,7441968-07,,960,,P01,P01-S022,24,PC,1:20:15 AM,12/1/2020,,12/1/2020,1:17:25 AM,53020000073666,V02,LOADING
1005469183,7,53020000073666,7449453-06,,960,,P01,P01-S022,24,PC,1:20:15 AM,12/1/2020,,12/1/2020,1:17:25 AM,53020000073666,V02,LOADING
1005469183,8,53020000073666,7495608-04,,960,,P01,P01-S022,24,PC,1:20:15 AM,12/1/2020,,12/1/2020,1:17:25 AM,53020000073666,V02,LOADING
1005469183,9,53020000073666,7943713-04,,960,,P01,P01-S022,24,PC,1:20:15 AM,12/1/2020,,12/1/2020,1:17:25 AM,53020000073666,V02,LOADING
1005469183,10,53020000073666,8070183-04,,960,,P01,P01-S022,24,PC,1:20:15 AM,12/1/2020,,12/1/2020,1:17:25 AM,53020000073666,V02,LOADING
1005469385,1,53030001283624,9895645-04,,960,,P08,P08-L041,8,PC,1:29:52 AM,12/1/2020,,12/1/2020,1:20:16 AM,53030001283624,V02,LOADING
1005469722,1,53030001284153,7444987-07,,960,,P08,P08-L042,8,PC,1:27:27 AM,12/1/2020,,12/1/2020,1:24:33 AM,53030001284153,V02,LOADING
1005469727,1,53020000073674,7479665-10,,960,,P01,P01-S003,24,PC,1:31:18 AM,12/1/2020,,12/1/2020,1:24:40 AM,53020000073674,V02,LOADING
1005469727,2,53020000073674,8092748-03,,960,,P01,P01-S003,24,PC,1:31:18 AM,12/1/2020,,12/1/2020,1:24:40 AM,53020000073674,V02,LOADING
